year,doi,title,f_author,id
2020,10.1007/978-3-030-49461-2_19,Entity Extraction from Wikipedia List Pages,Nicolas Heist ,272
2020,10.1007/978-3-030-49461-2_2,Modular Graphical Ontology Engineering Evaluated,Cogan Shimizu ,273
2020,10.1007/978-3-030-49461-2_20,The Knowledge Graph Track at OAEI,Sven Hertling ,274
2020,10.1007/978-3-030-49461-2_21,Detecting Synonymous Properties by Shared Data-Driven Definitions,Jan-Christoph Kalo ,275
2020,10.1007/978-3-030-49461-2_22,Entity Summarization with User Feedback,Qingxia Liu ,276
2020,10.1007/978-3-030-49461-2_23,Incremental Multi-source Entity Resolution for Knowledge Graph Completion,Alieh Saeedi ,277
2020,10.1007/978-3-030-49461-2_24,Building Linked Spatio-Temporal Data from Vectorized Historical Maps,Basel Shbita ,278
2020,10.1007/978-3-030-49461-2_25,QAnswer KG: Designing a Portable Question Answering System over RDF Data,Dennis Diefenbach ,279
2020,10.1007/978-3-030-49461-2_26,Equivalent Rewritings on Path Views with Binding Patterns,Julien Romero ,280
2020,10.1007/978-3-030-49461-2_27,A Knowledge Graph for Industry 4.0,Sebastian R. Bader ,281
2020,10.1007/978-3-030-49461-2_28,MetaLink: A Travel Guide to the LOD Cloud,Wouter Beek ,282
2020,10.1007/978-3-030-49461-2_29,Astrea: Automatic Generation of SHACL Shapes from Ontologies,Andrea Cimmino ,283
2020,10.1007/978-3-030-49461-2_3,Fast and Exact Rule Mining with AMIE 3,Jonathan Lajus ,284
2020,10.1007/978-3-030-49461-2_30,SemTab 2019: Resources to Benchmark Tabular Data to Knowledge Graph Matching Systems,Ernesto Jiménez-Ruiz ,285
2020,10.1007/978-3-030-49461-2_31,VQuAnDa: Verbalization QUestion ANswering DAtaset,Endri Kacupaj ,286
2020,10.1007/978-3-030-49461-2_32,ESBM: An Entity Summarization BenchMark,Qingxia Liu ,287
2020,10.1007/978-3-030-49461-2_33,GEval: A Modular and Extensible Evaluation Framework for Graph Embedding Techniques,Maria Angela Pellegrino ,288
2020,10.1007/978-3-030-49461-2_34,YAGO 4: A Reason-able Knowledge Base,Thomas Pellissier-Tanon ,289
2020,10.1007/978-3-030-49461-2_35,On Modeling the Physical World as a Collection of Things: The W3C Thing Description Ontology,Victor Charpenay ,290
2020,10.1007/978-3-030-49461-2_36,Applying Knowledge Graphs as Integrated Semantic Information Model for the Computerized Engineering of Building Automation Systems,Henrik Dibowski ,291
2020,10.1007/978-3-030-49461-2_37,Supporting Complex Decision Making by Semantic Technologies,Stefan Fenz ,292
2020,10.1007/978-3-030-49461-2_38,Piveau: A Large-Scale Open Data Management Platform Based on Semantic Web Technologies,Fabian Kirstein ,293
2020,10.1007/978-3-030-49461-2_39,StreamPipes Connect: Semantics-Based Edge Adapters for the IIoT,Philipp Zehnder ,294
2020,10.1007/978-3-030-49461-2_4,A Simple Method for Inducing Class Taxonomies in Knowledge Graphs,Marcin Pietrasik ,295
2020,10.1007/978-3-030-49461-2_5,Hybrid Reasoning Over Large Knowledge Bases Using On-The-Fly Knowledge Extraction,Giorgos Stoilos ,296
2020,10.1007/978-3-030-49461-2_6,Partial Domain Adaptation for Relation Extraction Based on Adversarial Learning,Xiaofei Cao ,297
2020,10.1007/978-3-030-49461-2_7,SASOBUS: Semi-automatic Sentiment Domain Ontology Building Using Synsets,Ewelina Dera ,298
2020,10.1007/978-3-030-49461-2_8,Keyword Search over RDF Using Document-Centric Information Retrieval Systems,Giorgos Kadilierakis ,299
2020,10.1007/978-3-030-49461-2_9,Entity Linking and Lexico-Semantic Patterns for Ontology Learning,Lama Saeeda ,300
2021,10.1007/978-3-030-77385-4_1,Streaming Partitioning of RDF Graphs for Datalog Reasoning,Temitope Ajileye ,301
2021,10.1007/978-3-030-77385-4_10,A Semantic Framework to Support AI System Accountability and Audit,Iman Naja ,302
2021,10.1007/978-3-030-77385-4_11,Comparison Table Generation from Knowledge Bases,Arnaud Giacometti ,303
2021,10.1007/978-3-030-77385-4_12,Incremental Schema Discovery at Scale for RDF Data,Redouane Bouhamoum ,304
2021,10.1007/978-3-030-77385-4_13,HTTP Extensions for the Management of Highly Dynamic Data Resources,Lars Gleim ,305
2021,10.1007/978-3-030-77385-4_14,Expressibility of OWL Axioms with Patterns,Aaron Eberhart ,306
2021,10.1007/978-3-030-77385-4_15,Refining Transitive and Pseudo-Transitive Relations at Web Scale,Shuai Wang ,307
2021,10.1007/978-3-030-77385-4_16,Data Reliability and Trustworthiness Through Digital Transmission Contracts,Simon Mangel ,308
2021,10.1007/978-3-030-77385-4_17,Neural Knowledge Base Repairs,Thomas Pellissier Tanon ,309
2021,10.1007/978-3-030-77385-4_18,Natural Language Inference over Tables: Enabling Explainable Data Exploration on Data Lakes,Mario Ramirez ,310
2021,10.1007/978-3-030-77385-4_19,Grounding Dialogue Systems via Knowledge Graph Aware Decoding with Pre-trained Transformers,Debanjan Chaudhuri ,311
2021,10.1007/978-3-030-77385-4_2,Parallelised ABox Reasoning and Query Answering with Expressive Description Logics,Andreas Steigmiller ,312
2021,10.1007/978-3-030-77385-4_20,WEB-SOBA: Word Embeddings-Based Semi-automatic Ontology Building for Aspect-Based Sentiment Classification,Fenna ten Haaf,313
2021,10.1007/978-3-030-77385-4_21,Context Transformer with Stacked Pointer Networks for Conversational Question Answering over Knowledge Graphs,Joan Plepi ,314
2021,10.1007/978-3-030-77385-4_22,Neural Multi-hop Reasoning with Logical Rules on Biomedical Knowledge Graphs,Yushan Liu ,315
2021,10.1007/978-3-030-77385-4_23,Augmenting Ontology Alignment by Semantic Embedding and Distant Supervision,Jiaoyan Chen ,316
2021,10.1007/978-3-030-77385-4_24,Convolutional Complex Knowledge Graph Embeddings,Caglar Demir ,317
2021,10.1007/978-3-030-77385-4_25,RETRA: Recurrent Transformers for Learning Temporally Contextualized Knowledge Graph Embeddings,Simon Werner ,318
2021,10.1007/978-3-030-77385-4_26,Injecting Background Knowledge into Embedding Models for Predictive Tasks on Knowledge Graphs,Claudia d’Amato ,319
2021,10.1007/978-3-030-77385-4_27,Structured Semantic Modeling of Scientific Citation Intents,Roger Ferrod ,320
2021,10.1007/978-3-030-77385-4_28,Discovering Research Hypotheses in Social Science Using Knowledge Graph Embeddings,Rosaline de Haan,321
2021,10.1007/978-3-030-77385-4_29,Towards a Linked Open Code,Ahmed El Amine Djebri ,322
2021,10.1007/978-3-030-77385-4_3,Analysing Large Inconsistent Knowledge Graphs Using Anti-patterns,Thomas de Groot,323
2021,10.1007/978-3-030-77385-4_30,A Polyvocal and Contextualised Semantic Web,Marieke van Erp,324
2021,10.1007/978-3-030-77385-4_31,"The WASABI Dataset: Cultural, Lyrics and Audio Analysis Metadata About 2 Million Popular Commercially Released Songs",Michel Buffa ,325
2021,10.1007/978-3-030-77385-4_32,RuBQ 2.0: An Innovated Russian Question Answering Dataset,Ivan Rybin ,326
2021,10.1007/978-3-030-77385-4_33,A Knowledge Organization System for the United Nations Sustainable Development Goals,Amit Joshi ,327
2021,10.1007/978-3-030-77385-4_34,RSP4J: An API for RDF Stream Processing,Riccardo Tommasini ,328
2021,10.1007/978-3-030-77385-4_35,WasmTree: Web Assembly for the Semantic Web,Julian Bruyat ,329
2021,10.1007/978-3-030-77385-4_36,ParaQA: A Question Answering Dataset with Paraphrase Responses for Single-Turn Conversation,Endri Kacupaj ,330
2021,10.1007/978-3-030-77385-4_37,kgbench: A Collection of Knowledge Graph Datasets for Evaluating Relational and Multimodal Machine Learning,Peter Bloem ,331
2021,10.1007/978-3-030-77385-4_38,The SLOGERT Framework for Automated Log Knowledge Graph Construction,Andreas Ekelhart ,332
2021,10.1007/978-3-030-77385-4_39,P2P-O: A Purchase-To-Pay Ontology for Enabling Semantic Invoices,Michael Schulze ,333
2021,10.1007/978-3-030-77385-4_4,Processing SPARQL Property Path Queries Online with Web Preemption,Julien Aimonier-Davat ,334
2021,10.1007/978-3-030-77385-4_40,KOBE: Cloud-Native Open Benchmarking Engine for Federated Query Processors,Charalampos Kostopoulos ,335
2021,10.1007/978-3-030-77385-4_41,CSKG: The CommonSense Knowledge Graph,Filip Ilievski ,336
2021,10.1007/978-3-030-77385-4_42,A Knowledge Graph-Based Approach for Situation Comprehension in Driving Scenarios,Lavdim Halilaj ,337
2021,10.1007/978-3-030-77385-4_43,Pay-as-you-go Population of an Automotive Signal Knowledge Graph,Yulia Svetashova ,338
2021,10.1007/978-3-030-77385-4_44,Correction to: A Semantic Framework to Support AI System Accountability and Audit,Iman Naja ,339
2021,10.1007/978-3-030-77385-4_5,Ontology-Based Map Data Quality Assurance,Haonan Qiu ,340
2021,10.1007/978-3-030-77385-4_6,Applying Grammar-Based Compression to RDF,Michael Röder ,341
2021,10.1007/978-3-030-77385-4_7,HDT Bitmap Triple Indices for Efficient RDF Data Exploration,Maximilian Wenzel ,342
2021,10.1007/978-3-030-77385-4_8,Programming and Debugging with Semantically Lifted States,Eduard Kamburjan ,343
2021,10.1007/978-3-030-77385-4_9,Do Embeddings Actually Capture Knowledge Graph Semantics?,Nitisha Jain ,344
2022,10.1007/978-3-031-06981-9_1,Enhancing Sequential Recommendation via Decoupled Knowledge Graphs,Bingchao Wu ,345
2023,10.1007/978-3-031-06981-9_10,The Problem with XSD Binary Floating Point Datatypes in RDF,Jan Martin Keil ,346
2022,10.1007/978-3-031-06981-9_11,DCWEB-SOBA: Deep Contextual Word Embeddings-Based Semi-automatic Ontology Building for Aspect-Based Sentiment Classification,Roos van Lookeren Campagne,347
2022,10.1007/978-3-031-06981-9_12,"Never Mind the Semantic Gap: Modular, Lazy and Safe Loading of RDF Data",Eduard Kamburjan ,348
2022,10.1007/978-3-031-06981-9_13,Improving Question Answering Quality Through Language Feature-Based SPARQL Query Candidate Validation,Aleksandr Gashkov ,349
2022,10.1007/978-3-031-06981-9_14,Learning Concept Lengths Accelerates Concept Learning in ALC,N’Dah Jean Kouagou ,350
2022,10.1007/978-3-031-06981-9_15,Dihedron Algebraic Embeddings for Spatio-Temporal Knowledge Graph Completion,Mojtaba Nayyeri ,351
2022,10.1007/978-3-031-06981-9_16,Hierarchical Topic Modelling for Knowledge Graphs,Yujia Zhang ,352
2022,10.1007/978-3-031-06981-9_17,Do Arduinos Dream of Efficient Reasoners?,Alexandre Bento ,353
2022,10.1007/978-3-031-06981-9_18,A Programming Interface for Creating Data According to the SPAR Ontologies and the OpenCitations Data Model,Simone Persiani ,354
2022,10.1007/978-3-031-06981-9_19,LD Connect: A Linked Data Portal for IOS Press Scientometrics,Zilong Liu ,355
2022,10.1007/978-3-031-06981-9_2,An Analysis of Links in Wikidata,Armin Haller ,356
2022,10.1007/978-3-031-06981-9_20,Chowlk: from UML-Based Ontology Conceptualizations to OWL,Serge Chávez-Feria ,357
2023,10.1007/978-3-031-06981-9_21,QuoteKG: A Multilingual Knowledge Graph of Quotes,Tin Kuculo ,358
2022,10.1007/978-3-031-06981-9_22,Stunning Doodle: A Tool for Joint Visualization and Analysis of Knowledge Graphs and Graph Embeddings,Antonia Ettorre ,359
2022,10.1007/978-3-031-06981-9_23,Capturing the Semantics of Smell: The Odeuropa Data Model for Olfactory Heritage Information,Pasquale Lisena ,360
2022,10.1007/978-3-031-06981-9_24,Stream Reasoning Playground,Patrik Schneider ,361
2022,10.1007/978-3-031-06981-9_25,The Dow Jones Knowledge Graph,Ian Horrocks ,362
2022,10.1007/978-3-031-06981-9_26,CONSTRUCT Queries Performance on a Spark-Based Big RDF Triplestore,Adam Sanchez-Ayte ,363
2022,10.1007/978-3-031-06981-9_27,Matching Multiple Ontologies to Build a Knowledge Graph for Personalized Medicine,Marta Contreiras Silva ,364
2022,10.1007/978-3-031-06981-9_28,FindSampo: A Linked Data Based Portal and Data Service for Analyzing and Disseminating Archaeological Object Finds,Heikki Rantala ,365
2022,10.1007/978-3-031-06981-9_3,Knowledge Graph Entity Type Prediction with Relational Aggregation Graph Attention Network,Changlong Zou ,366
2022,10.1007/978-3-031-06981-9_4,Union and Intersection of All Justifications,Jieying Chen ,367
2022,10.1007/978-3-031-06981-9_5,Supervised Knowledge Aggregation for Knowledge Graph Completion,Patrick Betz ,368
2022,10.1007/978-3-031-06981-9_6,Expressive Scene Graph Generation Using Commonsense Knowledge Infusion for Visual Understanding and Reasoning,Muhammad Jaleed Khan ,369
2022,10.1007/978-3-031-06981-9_7,Impact of the Characteristics of Multi-source Entity Matching Tasks on the Performance of Active Learning Methods,Anna Primpeli ,370
2022,10.1007/978-3-031-06981-9_8,Optimal ABox Repair w.r.t. Static TBoxes: From Quantified ABoxes Back to ABoxes,Franz Baader ,371
2022,10.1007/978-3-031-06981-9_9,Ensemble-Based Fact Classification with Knowledge Graph Embeddings,Unmesh Joshi ,372
2023,10.1007/978-3-031-33455-9_1,Explainable Drug Repurposing in Context via Deep Reinforcement Learning,Lise Stork ,373
2023,10.1007/978-3-031-33455-9_10,Classifying Sequences by Combining Context-Free Grammars and OWL Ontologies,Nicolas Lazzari ,374
2023,10.1007/978-3-031-33455-9_11,NASTyLinker: NIL-Aware Scalable Transformer-Based Entity Linker,Nicolas Heist ,375
2023,10.1007/978-3-031-33455-9_12,"iSummary: Workload-Based, Personalized Summaries for Knowledge Graphs",Giannis Vassiliou ,376
2023,10.1007/978-3-031-33455-9_13,Neural Class Expression Synthesis,N’Dah Jean Kouagou ,377
2023,10.1007/978-3-031-33455-9_14,Evaluating Language Models for Knowledge Base Completion,Blerta Veseli ,378
2023,10.1007/978-3-031-33455-9_15,Subsumption Prediction for E-Commerce Taxonomies,Jingchuan Shi ,379
2023,10.1007/978-3-031-33455-9_16,Two-View Graph Neural Networks for Knowledge Graph Completion,Vinh Tong ,380
2023,10.1007/978-3-031-33455-9_17,GETT-QA: Graph Embedding Based T2T Transformer for Knowledge Graph Question Answering,Debayan Banerjee ,381
2023,10.1007/978-3-031-33455-9_18,Repairing Ontologies Using Weakening and Completing,Ying Li ,382
2023,10.1007/978-3-031-33455-9_2,A Comparative Study of Stream Reasoning Engines,Nathan Gruber ,383
2023,10.1007/978-3-031-33455-9_20,RELD: A Knowledge Graph of Relation Extraction Datasets,Manzoor Ali ,384
2023,10.1007/978-3-031-33455-9_21,IMKG: The Internet Meme Knowledge Graph,Riccardo Tommasini ,385
2023,10.1007/978-3-031-33455-9_22,Describing and Organizing Semantic Web and Machine Learning Systems in the SWeMLS-KG,Fajar J. Ekaputra ,386
2023,10.1007/978-3-031-33455-9_23,"A Concise Ontology to Support Research on Complex, Multimodal Clinical Reasoning",Sabbir M. Rashid ,387
2023,10.1007/978-3-031-33455-9_24,LauNuts: A Knowledge Graph to Identify and Compare Geographic Regions in the European Union,Adrian Wilke ,388
2023,10.1007/978-3-031-33455-9_25,HHT: An Approach for Representing Temporally-Evolving Historical Territories,William Charles ,389
2023,10.1007/978-3-031-33455-9_26,An Upper Ontology for Modern Science Branches and Related Entities,Said Fathalla ,390
2023,10.1007/978-3-031-33455-9_27,K-Hub: A Modular Ontology to Support Document Retrieval and Knowledge Extraction in Industry 5.0,Anisa Rula ,391
2023,10.1007/978-3-031-33455-9_28,pyRDF2Vec: A Python Implementation and Extension of RDF2Vec,Bram Steenwinckel ,392
2023,10.1007/978-3-031-33455-9_29,Boosting Knowledge Graph Generation from Tabular Data with RML Views,Julián Arenas-Guerrero ,393
2023,10.1007/978-3-031-33455-9_3,Join Ordering of SPARQL Property Path Queries,Julien Aimonier-Davat ,394
2023,10.1007/978-3-031-33455-9_30,A Knowledge Graph of Contentious Terminology for Inclusive Representation of Cultural Heritage,Andrei Nesterov ,395
2023,10.1007/978-3-031-33455-9_31,LegalHTML: A Representation Language for Legal Acts,Armando Stellato ,396
2023,10.1007/978-3-031-33455-9_32,Whyis 2: An Open Source Framework for Knowledge Graph Development and Research,Jamie McCusker ,397
2023,10.1007/978-3-031-33455-9_33,Prototyping an End-User User Interface for the Solid Application Interoperability Specification Under GDPR,Hadrien Bailly ,398
2023,10.1007/978-3-031-33455-9_34,SemReasoner - A High-Performance Knowledge Graph Store and Rule-Based Reasoner,Kevin Angele ,399
2023,10.1007/978-3-031-33455-9_35,LIS: A Knowledge Graph-Based Line Information System,Irlan Grangel-González ,400
2023,10.1007/978-3-031-33455-9_36,Combining Semantic Web and Machine Learning for Auditable Legal Key Element Extraction,Anna Breit ,401
2023,10.1007/978-3-031-33455-9_37,Understanding Customer Requirements,Basel Shbita ,402
2023,10.1007/978-3-031-33455-9_38,Investigating Ontology-Based Data Access with GitHub,Yahlieel Jafta ,403
2023,10.1007/978-3-031-33455-9_39,Enabling Live SPARQL Queries over ConceptNet Using Triple Pattern Fragments,Marcelo Machado ,404
2023,10.1007/978-3-031-33455-9_4,Refining Large Integrated Identity Graphs Using the Unique Name Assumption,Shuai Wang ,405
2023,10.1007/978-3-031-33455-9_40,Evaluation of a Representative Selection of SPARQL Query Engines Using Wikidata,An Ngoc Lam ,406
2023,10.1007/978-3-031-33455-9_41,MOSAIK: An Agent-Based Decentralized Control System with Stigmergy for a Transportation Scenario,Sebastian Schmid ,407
2023,10.1007/978-3-031-33455-9_42,Correction to: IMKG: The Internet Meme Knowledge Graph,Riccardo Tommasini ,408
2023,10.1007/978-3-031-33455-9_5,Structural Bias in Knowledge Graphs for the Entity Alignment Task,Nikolaos Fanourakis ,409
2023,10.1007/978-3-031-33455-9_6,A Framework to Include and Exploit Probabilistic Information in SHACL Validation Reports,Rémi Felin ,410
2023,10.1007/978-3-031-33455-9_7,Transformer Based Semantic Relation Typing for Knowledge Graph Integration,Sven Hertling ,411
2023,10.1007/978-3-031-33455-9_8,Entity Linking for KGQA Using AMR Graphs,Nadine Steinmetz ,412
2023,10.1007/978-3-031-33455-9_9,REGNUM: Generating Logical Rules with Numerical Predicates in Knowledge Graphs,Armita Khajeh Nassiri ,413
2024,10.1007/978-3-031-60626-7_1,Do Similar Entities Have Similar Embeddings?,Nicolas Hubert ,414
2024,10.1007/978-3-031-60626-7_10,Explanation of Link Predictions on Knowledge Graphs via Levelwise Filtering and Graph Summarization,Roberto Barile ,415
2024,10.1007/978-3-031-60626-7_11,Large Language Models for Scientific Question Answering: An Extensive Analysis of the SciQA Benchmark,Jens Lehmann ,416
2024,10.1007/978-3-031-60626-7_12,Efficient Evaluation of Conjunctive Regular Path Queries Using Multi-way Joins,Nikolaos Karalis ,417
2024,10.1007/978-3-031-60626-7_13,Can Contrastive Learning Refine Embeddings,Lihui Liu ,418
2024,10.1007/978-3-031-60626-7_14,Automation of Electronic Invoice Validation Using Knowledge Graph Technologies,Johannes Mäkelburg ,419
2024,10.1007/978-3-031-60626-7_15,Towards Cyber Mapping the German Financial System with Knowledge Graphs,Markus Schröder ,420
2024,10.1007/978-3-031-60626-7_16,Integrating Domain Knowledge for Enhanced Concept Model Explainability in Plant Disease Classification,Jihen Amara ,421
2024,10.1007/978-3-031-60626-7_17,Generative Expression Constrained Knowledge-Based Decoding for Open Data,Lucas Lageweg ,422
2024,10.1007/978-3-031-60626-7_18,OntoEditor: Real-Time Collaboration via Distributed Version Control for Ontology Development,Ahmad Hemid ,423
2024,10.1007/978-3-031-60626-7_2,Treat Different Negatives Differently: Enriching Loss Functions with Domain and Range Constraints for Link Prediction,Nicolas Hubert ,424
2024,10.1007/978-3-031-60626-7_3,QAGCN: Answering Multi-relation Questions via Single-Step Implicit Reasoning over Knowledge Graphs,Ruijie Wang ,425
2024,10.1007/978-3-031-60626-7_4,Leveraging Pre-trained Language Models for Time Interval Prediction in Text-Enhanced Temporal Knowledge Graphs,Duygu Sezen Islakoglu ,426
2024,10.1007/978-3-031-60626-7_5,A Language Model Based Framework for New Concept Placement in Ontologies,Hang Dong ,427
2024,10.1007/978-3-031-60626-7_6,Low-Dimensional Hyperbolic Knowledge Graph Embedding for Better Extrapolation to Under-Represented Data,Zhuoxun Zheng ,428
2024,10.1007/978-3-031-60626-7_7,SC-Block: Supervised Contrastive Blocking Within Entity Resolution Pipelines,Alexander Brinkmann ,429
2024,10.1007/978-3-031-60626-7_8,Navigating Ontology Development with Large Language Models,Mohammad Javad Saeedizade ,430
2024,10.1007/978-3-031-60626-7_9,ESLM: Improving Entity Summarization by Leveraging Language Models,Asep Fajar Firmansyah ,431
2024,10.1007/978-3-031-60635-9_1,PyGraft: Configurable Generation of Synthetic Schemas and Knowledge Graphs at Your Fingertips,Nicolas Hubert ,432
2024,10.1007/978-3-031-60635-9_10,SousLeSens - A Comprehensive Suite for the Industrial Practice of Semantic Knowledge Graphs,Claude Fauconnet ,433
2024,10.1007/978-3-031-60635-9_11,MLSea: A Semantic Layer for Discoverable Machine Learning,Ioannis Dasoulas ,434
2024,10.1007/978-3-031-60635-9_12,Enabling Social Demography Research Using Semantic Technologies,Lise Stork ,435
2024,10.1007/978-3-031-60635-9_13,SCOOP All the Constraints’ Flavours for Your Knowledge Graph,Xuemin Duan ,436
2024,10.1007/978-3-031-60635-9_14,FidMark: A Fiducial Marker Ontology for Semantically Describing Visual Markers,Maxim Van de Wynckel ,437
2024,10.1007/978-3-031-60635-9_2,NORIA-O: An Ontology for Anomaly Detection and Incident Management in ICT Systems,Lionel Tailhardat ,438
2024,10.1007/978-3-031-60635-9_3,FlexRML: A Flexible and Memory Efficient Knowledge Graph Materializer,Michael Freund ,439
2024,10.1007/978-3-031-60635-9_4,IICONGRAPH: Improved Iconographic and Iconological Statements in Knowledge Graphs,Bruno Sartini ,440
2024,10.1007/978-3-031-60635-9_5,VisionKG: Unleashing the Power of Visual Datasets via Knowledge Graph,Jicheng Yuan ,441
2024,10.1007/978-3-031-60635-9_6,OfficeGraph: A Knowledge Graph of Office Building IoT Measurements,Roderick van der Weerdt,442
2024,10.1007/978-3-031-60635-9_7,Musical Meetups Knowledge Graph (MMKG): A Collection of Evidence for Historical Social Network Analysis,Alba Morales Tirado ,443
2024,10.1007/978-3-031-60635-9_8,Generate and Update Large HDT RDF Knowledge Graphs on Commodity Hardware,Antoine Willerval ,444
2024,10.1007/978-3-031-60635-9_9,SMW Cloud: A Corpus of Domain-Specific Knowledge Graphs from Semantic MediaWikis,Daniil Dobriy ,445
2015,,SPARQL with Property Paths,Egor V. Kostylev,446
2015,,Facilitating Entity Navigation Through Top-K Link Patterns,Liang Zheng,447
2015,,Serving DBpedia with DOLCE – More than Just Adding a Cherry on Top,Heiko Paulheim,448
2015,,Ontology-Based Integration of Cross-Linked Datasets,Diego Calvanese,449
2015,,Mapping Analysis in Ontology-Based Data Access: Algorithms and Complexity,Domenico Lembo,450
2015,,Towards Defeasible Mappings for Tractable Description Logics,Kunal Sengupta,451
2015,,An Algebra of Qualitative Taxonomical Relations for Ontology Alignments,Armen Inants,452
2015,,CogMap: A Cognitive Support Approach to Property and Instance Alignment,Jan N oner,453
2015,,Eﬀective Online Knowledge Graph Fusion,Haofen Wang,454
2015,,Adding DL-Lite TBoxes to Proper Knowledge Bases,Giuseppe De Giacomo,455
2015,,R O : An Eﬃcient Ranking-Based Reasoner for OWL Ontologies,Yong-Bin Kang,456
2015,,Recursion in SPARQL,Juan L. Reutter,457
2015,,Rewriting-Based Instance Retrieval for Negated Concepts in Description Logic Ontologies,Jianfeng Du,458
2015,,Optimizing the Computation of Overriding,Piero A. Bonatti,459
2015,,LANCE: Piercing to the Heart of Instance Matching Tools,Tzanina Saveta,460
2015,,Decision-Making Bias in Instance Matching Model Selection,Mayank Kejriwal,461
2015,,Klink-2: Integrating Multiple Web Sources to Generate Semantic Topic Networks,: ISWC ,462
2015,,TabEL: Entity Linking in Web Tables,Chandra Sekhar Bhagavatula,463
2015,,Path-Based Semantic Relatedness on Linked Data and Its Use to Word and Entity Disambiguation,Ioana Hulpu s,464
2015,,SANAPHOR: Ontology-Based Coreference Resolution,Roman Prokofyev,465
2015,,Improving Entity Retrieval on Structured Data,Besnik Fetahu,466
2015,,A Flexible Framework for Understanding the Dynamics of Evolving RDF Datasets,Yannis Roussakis,467
2015,,Federated SPARQL Queries Processing with Replicated Fragments,Gabriela Montoya,468
2015,,Interest-Based RDF Update Propagation,Kemele M. Endris,469
2015,,General Terminology Induction in OWL,Viachaslau Sazonau,470
2015,,Understanding How Users Edit Ontologies: Comparing Hypotheses About Four Real-World Projects,Simon Walk,471
2015,,Next Step for NoHR: OWL 2 QL,Nuno Costa,472
2015,,Concept Forgetting in ALCOI -Ontologies Using an Ackermann Approach,Yizheng Zhao,473
2015,,Content-Based Recommendations via DBpedia and Freebase: A Case Study in the Music Domain,Phuong T. Nguyen,474
2015,,Explaining and Suggesting Relatedness in Knowledge Graphs,Giuseppe Pirr`o,475
2015,,Type-Constrained Representation Learning in Knowledge Graphs,Denis Krompa,476
2015,,"Publishing Without Publishers: A Decentralized Approach to Dissemination, Retrieval, and Archiving of Data",Tobias Kuhn,477
2015,,FEASIBLE: A Feature-Based SPARQL Benchmark Generation Framework,Muhammad Saleem,478
2015,,LDQL: A Query Language for the Web of Linked Data,Olaf Hartig,479
2015,,Opportunistic Linked Data Querying Through Approximate Membership Metadata,Miel Vander Sande,480
2015,,Networks of Linked Data Eddies: An Adaptive Web Query Processing Engine for RDF Data,Maribel Acosta,481
2015,,Substring Filtering for Low-Cost Linked Data Interfaces,Joachim Van Herwegen,482
2015,,LinkDaViz – Automatic Binding of Linked Data to Visualizations,Klaudia Thellmann,483
2015,,RDFox: A Highly-Scalable RDF Store,Yavor Nenov,484
2015,,Multilingual Ontology Mapping in Practice: A Support System for Domain Experts,Mauro Dragoni,485
2015,,Data Access Linking and Integration with DALI: Building a Safety Net for an Ocean of City Data,II,486
2015,,Building and Using a Knowledge Graph to Combat Human Traﬃcking,Pedro Szekely,487
2015,,Semantic-Guided Feature Selection for Industrial Automation Systems,Martin Ringsquandl,488
2015,,A Semantic Processing Framework for IoT-Enabled Communication Systems,Muhammad Intizar Ali,489
2015,,LSQ: The Linked SPARQL Queries Dataset,Muhammad Saleem,490
2015,,Automatic Curation of Clinical Trials Data in LinkedCT,Oktie Hassanzadeh,491
2015,,DBpedia Commons: Structured Multimedia Metadata from the Wikimedia Commons,Gaurav Vaidya,492
2015,,Provenance-Centered Dataset of Drug-Drug Interactions,Juan M. Banda,493
2015,,The GeoLink Modular Oceanography Ontology,Adila Krisnadhi,494
2015,,TR Discover: A Natural Language Interface for Querying and Analyzing Interlinked Datasets,Dezhao Song,495
2015,,Semantic Bridges for Biodiversity Sciences,rland,496
2015,,FraPPE: A Vocabulary to Represent Heterogeneous Spatio-temporal Data to Support Visual Analytics,Marco Balduini,497
2015,,The Transport Disruption Ontology,David Corsar,498
2015,,LOD Lab: Experiments at LOD Scale,Laurens Rietveld,499
2015,,Strategies for Eﬃciently Keeping Local Linked Open Data Caches Up-To-Date,Renata Dividino,500
2015,,CityBench: A Conﬁgurable Benchmark to Evaluate RSP Engines Using Smart City Datasets,Muhammad Intizar Ali,501
2015,,"A Multi-reasoner, Justiﬁcation-Based Approach to Reasoner Correctness",Michael Lee,502
2015,,Introducing Defeasibility into OWL Ontologies,Giovanni Casini,503
2015,,Timely Semantics: A Study of a Stream-Based Ranking System for Entity Relationships,Lorenz Fischer,504
2015,,Link Analysis of Life Science Linked Data,Wei Hu,505
2015,,Drug Encyclopedia – Linked Data Application for Physicians,Jakub Koz ak,506
2015,,"Collecting, Integrating, Enriching and Republishing Open City Data as Linked Data",Stefan Bischof,507
2015,,ASSESS — Automatic Self-Assessment Using Linked Data,Lorenz B uhmann,508
2015,,Ontology Based Access to Exploration Data at Statoil,Evgeny Kharlamov,509
2015,,B OX: Practical Mapping of RDBs to OWL 2,,510
2015,,Assessing and Reﬁning Mappings to RDF to Improve Dataset Quality,Anastasia Dimou,511
2015,,A Generic RDF Transformation Software and Its Application to an Online Translation Service for Common Languages of Linked Data,Olivier Corby,512
2016,,Structuring Linked Data Search Results Using Probabilistic Soft Logic,Duhai Alshukaili,513
